Component URL,System,Contact,Notes,System Status,Platform,ATO Folder,ATO Artifacts,ATO Type,ATO Level,ATO Expiration Date,ATO Expires,Authorizing Official,TTS Owner,System Owner,Technical Contact (mailing list preferred),Team Shared Email ,Slack channel,Project Mgmt Tracker,Partner Agency,GSA External Stakeholder,Mastersheet Unique ID,Origin sheet Unique ID,Sheet Name,FINAL?,SaaS?
federation-staging.data.gov,data.gov,datagovhelp@gsa.gov,,Staging,federalist.18.gov,,,,,,,,,,,,,,,,,,,,
federation.data.gov,data.gov,datagovhelp@gsa.gov,,Production,federalist.18.gov,,,,,,,,,,,,,,,,,,,,
fedinfo.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
fedramp-dashboard.fr.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
fedramp-develop.fr.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
fedramp.gov,fedramp.gov,info@FedRAMP.gov,,Production,,,,,,,,,,,,,,,,,,,,,
fedramp.sitesusa.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
fedspendingtransparency.18f.gov,18f.gov,,Transferred to Treasury,Production,,,,,,,,,,,,,,,,,87E83FD3,A3DE9593,Copy of cloud.gov IAAs and Orgs,N,N
feedback-staging.usa.gov,usa.gov,,,Staging,,,,,,,,,,,,,,,,,,,,,
feedback.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
feedthefuture.gov,pif.gov,pif-team@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,F25A684F,C308D0E9,Copy of ATO/System Tracking Index Federalist Sites,Y,N
fellows-in-innovation.pif.gov,pif.gov,pif-team@gsa.gov,,Production,,,,,,,,,,,,,,,,,86C8A6EA,0B0E52C2,Copy of ATO/System Tracking Index Federalist Sites,Y,N
files.18f.gov,18f.gov,,,,,,,,,,,,,,,,,,,,,,,,
finance.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
find.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
find.search.gov,search.gov,amy.lawson@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
findtreatment.gov,18f.gov,,,,,,,,,,,,,,,,,,,,,,,,
firstgov.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
food.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
foodsecurity.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
forms.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
fr-stage.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
fr.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
frontend.18f.gov,18f.gov,,,Production,,,,,,,,,gsa-tts-fugacious,,,,,,,,C6180662,366B5B57,Copy of cloud.gov IAAs and Orgs,N,N
fugacious.18f.gov,18f.gov,,,Deprecated,,,,,,,,,gsa-acq-micropurchase,,,,,,,,89D48901,A112A78E,Copy of cloud.gov IAAs and Orgs,N,N
geospatial.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
globaldevelopment.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
go.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
gobierno.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
gobiernousa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
govconnect.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,9ADBC30C,397F0E86,Copy of cloud.gov IAAs and Orgs,N,N
grafana.18f.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
grouplet-playbook.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,ABB13805,12504AC5,Copy of cloud.gov IAAs and Orgs,N,N
gsaforecast.gsa.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
guides-template.18f.gov,18f.gov,,,Deprecated,,,,,,,,,cloud.gov team orgs:,,,,,,,,D3D6FDEF,5017AF3C,Copy of cloud.gov IAAs and Orgs,N,N
guides.18f.gov,18f.gov,,,Deprecated,,,,,,,,,cloud-gov,,,,,,,,227F950B,50E3490B,Copy of cloud.gov IAAs and Orgs,N,N
hamilton.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
handbook.18f.gov,18f.gov,,,Production,federalist.18.gov,,,,,,,,cloud-gov-operators,,,,,,,,21614A0A,E578771E,Copy of cloud.gov IAAs and Orgs,N,N
health.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
highlights.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
howto.gov,digital.gov,digitalgov-team@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
devicepki.idmanagement.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,BF9FA518,DE4A3A43,Copy of ATO/System Tracking Index Federalist Sites,Y,N
hackerone.com/tts,hackerone.com/tts,devops@gsa.gov,,Production,Cloud.gov,https://drive.google.com/drive/u/0/folders/0B8-KLfkQr4EVc2VDaGNPc1gtbHc,,TBD,Moderate,New,,,18F,,,,,TBD,OGC,TBD,70755478,0C1ED9A3,Copy of TTS ATOs New and Renewals DEPRECATED,?,?
https.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
https.cio.gov,18f.gov,,,,,,,,,,,,,,,,,,,,,,,,
hub.18f.gov,18f.gov,,,Deprecated,,TBD,,TBD,Low,TBD,,,18F,,,,,TBD,N/A,No,F64D0C8C,2E883C19,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
humanrights.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
i14y.search.gov,search.gov,amy.lawson@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
i14y.search.usa.gov,search.gov,amy.lawson@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
i14y.usa.gov,search.gov,amy.lawson@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
iaa-forms.18f.gov,18f.gov,,,Deprecated,,,,,,,,,gsa-tts-domains,,,,,,,,E9E3F441,7F74987B,Copy of cloud.gov IAAs and Orgs,N,N
identity-dev-docs.18f.gov,18f.gov,,,Production,AWS,,,,,,,,test-org,,,,,,,,7D8020DD,B73123B6,Copy of cloud.gov IAAs and Orgs,N,N
identitysandbox.gov,login.gov,all@login.gov,,,,,,,,,,,,,,,,,,,,,,,
idmanagement.gov,login.gov,all@login.gov,,Production,,,,,,,,,OGP,rachel.flagg@gsa.gov,,,,,,,7861951D,0DE08E42,Copy of GSA site inventory OGP,Y,N
idp.brody.identitysandbox.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
idp.ci.identitysandbox.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
idp.crissupb.identitysandbox.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
idp.dev.identitysandbox.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
idp.int.identitysandbox.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
idp.jjg.identitysandbox.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
idp.markryan.identitysandbox.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
idp.qa.identitysandbox.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
idp.staging.login.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
info.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
innovation-toolkit-prototype.18f.gov,18f.gov,,,Deprecated,,,,,,,,,FAS/TTS/18F,dahianna.salazarforeman@gsa.gov,,,,,,,6C8A32A9,31EF7961,Copy of GSA site inventory TTS 3,N,N
innovation.gov,digital.gov,digitalgov-team@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
int.identitysandbox.gov,login.gov,all@login.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
inventory.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
jjg.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
jobkit.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,FAS/TTS/OPP,gwynne.kostin@gsa.gov,,,,,,,56482316,64396F25,Copy of GSA site inventory TTS 45,Y,N
jobs.18f.gov,18f.gov,,,Production,federalist.18.gov,,,,,,,,FAS/TTS/OPP,timothy.lowden@gsa.gov,,,,,,,4C053909,D9B5A3AE,Copy of GSA site inventory TTS 7,N,N
join.18f.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
join.tts.gsa.gov,tts.gsa.gov,,,Production,,,,,,,,,FAS/TTS/OPS,dahianna.salazarforeman@gsa.gov,,,,,,,23D91028,5016A4CF,Copy of GSA site inventory TTS 46,Y,N
kibana.demo1.search.usa.gov,search.gov,amy.lawson@gsa.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
kibana.demo2.search.usa.gov,search.gov,amy.lawson@gsa.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
kibana.demo3.search.usa.gov,search.gov,amy.lawson@gsa.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
kibana.search.gov,search.gov,amy.lawson@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
kibana.search.usa.gov,search.gov,amy.lawson@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
kibana5.demo1.search.usa.gov,search.gov,amy.lawson@gsa.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
kibana5.demo2.search.usa.gov,search.gov,amy.lawson@gsa.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
kibana5.demo3.search.usa.gov,search.gov,amy.lawson@gsa.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
kibana5.search.gov,search.gov,amy.lawson@gsa.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
kids.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
kids.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
labs-bsp.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
labs.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
labs.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
law.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
lean-product-design.18f.gov,18f.gov,,,Deprecated,,,,,,,,,FAS/TTS/OPP,jacob.parcell@gsa.gov,,,,,,,856DCD18,58D45C18,Copy of GSA site inventory TTS 9,N,N
login.fr.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
login.gov,login.gov,all@login.gov,CAP response now: Yes,Production,,,,3 year LATO,Low,,,,TTS,,,,,,,,6FCB43EB,BA3D547D,Copy of TTS ATOs New and Renewals - New Dashboard,Y,N
lookforwatersense-prod.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
lookforwatersense-stage.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
m.gobiernousa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
m.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
make.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
manufacturing.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
markdown-helper.18f.gov,18f.gov,,,Staging,,,,,,,,,FAS/TTS/18F,eddie.tejeda@gsa.gov,,,,,,,F039D3AA,D876F2AF,Copy of GSA site inventory TTS 17,N,N
marketplace.fedramp.gov,fedramp.gov,info@FedRAMP.gov,,Production,federalist.18.gov,https://drive.google.com/drive/folders/0BzA5IPWEmW27ZVZnUVUzVENzUmc,,TBD,Low,10/31/2016,,,18F,,,,,https://github.com/18F/fedramp-dashboard,OPP,No,0CE975C1,0DF0BDE8,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
markryan.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
methods.18f.gov,18f.gov,,,Production,,,,,,,,,FAS/TTS/OPP,karen.trebon@gsa.gov,,,,,,,E0FF9132,900629F0,Copy of GSA site inventory TTS 18,N,N
micropurchase.18f.gov,18f.gov,,,Deprecated,Cloud.gov,https://docs.google.com/document/d/1Ea-bL30uTmOjXScrgJl4fg7vsX15-UTx1dyKrgYMyK0/edit,,AO-only ATO,Low,12/2/2016,,,18F,,,,,TBD,18F,No,142C5657,77F962CB,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
modularcontracting.18f.gov,18f.gov,,,Deprecated,,,,,,,,,FAS/TTS/OPP,joseph.castle@gsa.gov,,,,,,,048314F5,D614948C,Copy of GSA site inventory TTS 27,N,N
my.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
mywaterway-dev.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
mywaterway-stage.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
new.vote.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
next.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
notice.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
notice.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
notifications.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
nutrition.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
o166.email.digitalgov.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
ocean.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
onepagetest.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,41ABFF55,C501B8D5,Copy of ATO/System Tracking Index Federalist Sites,Y,N
open-forest-dev.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
open-forest-staging.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
open-source-guide.18f.gov,18f.gov,,,Deprecated,,,,,,,,,FAS/TTS/OPP,jeremy.zilar@gsa.gov,,,,,,,7660938E,31D6A9C3,Copy of GSA site inventory TTS 28,N,N
open-source-program.18f.gov,18f.gov,,,Deprecated,,,,,,,,,FAS/TTS/OPP,andrew.dunkman@gsa.gov,,,,,,,40863440,FBE589F9,Copy of GSA site inventory TTS 31,N,N
open-staging.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,8A258736,50452218,Copy of ATO/System Tracking Index Federalist Sites,Y,N
open.foia.gov,18f.gov,,,,,,,,,,,,,,,,,,,,,,,,
open.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
openopps.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,"Moving to OPM

Noah spoke with OPM CISO Cord Chase. They may be able to get it under a 90-day ATO this week. Awaiting signature.

Noah spoke with Lisa and made sure she is caught up. Will continue to work with OPM until final hour to get system transferred. Noah will take any mtgs necessary with OPM mgmt if it helps them meet the deadline.

18F can help with transfer before 10/31.  Post 10/31, 18F team will not be under contract and will not be able to help with transfer. 
Technology risk assessment: The system is within the boundary of cloud.gov, and benefits from all the inherited cloud.gov and AWS controls.

Compliance risk assessment: The underlying components of the system properly leverage cloud.gov, and the underlying AWS. The system correctly implements 16-17 controls of the LATO baseline that are applicable. However the current queue between Infrastructure and GSA IT InfoSec teams will not be able to make room for the system in time. This is a potential audit finding, as currently policies and procedures dictate that GSA IT staff or contractors must conduct all final scans before the CISO will give any concurrance to an ATO. The system also uses deprecated authentication for backend users (MyUSA) and has not yet been hooked up to OPM's auth system or to the new cloud.gov auth.",Production,Cloud.gov,https://drive.google.com/a/gsa.gov/folderview?id=0BynIxtx-CfkdU0hzX2ZydzVqZFE&usp=sharing&tid=0BynIxtx-CfkdckljM3BPSkdQT1U,,AO-only ATO,Moderate,SHIPPED,,,OPP,,,,,https://trello.com/c/sXKmIBI0,OPP,No,6EF94D33,41307A18,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
pages.18f.gov,18f.gov,,,Deprecated,,,,,,,,,FAS/TTS/18F,eddie.tejeda@gsa.gov,,,,,,,D8FF7DD2,C5634900,Copy of GSA site inventory TTS 35,N,N
paid-leave-prototype.18f.gov,18f.gov,,,Production,,,,,,,,,FAS/TTS/18F,keith.wilson@gsa.gov,,,,,,,43D01176,ED5C94F5,Copy of GSA site inventory TTS 42,N,N
participation.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
partnership-playbook.18f.gov,18f.gov,,,Production,,,,,,,,,OGP,lachelle.levan@gsa.gov,,,,,,,0CCD4829,88B4F4C7,Copy of GSA site inventory OGP,N,N
paygap-slack.pif.gov,pif.gov,pif-team@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,
paygap.pif.gov,pif.gov,pif-team@gsa.gov,,Production,federalist.18.gov,https://drive.google.com/a/gsa.gov/folderview?id=0B2gHjLPT7cBtUE5zazZaZjlfODg&usp=sharing&tid=0BynIxtx-CfkdckljM3BPSkdQT1U,,TBD,Low,4/11/2017,,,PIF,,,,,TBD,DOC,Yes,98D3B789,4B282FB3,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
performance-gov-research.18f.gov,18f.gov,,,Production,,,,,,,,,OGP,marina.fox@gsa.gov,,,,,,,58F56D46,B17F0B41,Copy of GSA site inventory OGP,N,N
performance.gov,performance.gov,PgovSupport@GSA.gov,,Production,CMP,,,90-Day LATO,TBD,TBD,,,OPP,lauren.stocker@gsa.gov,,,,TBD,OPP,Yes,A018FD00,A4A22A1A,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
pfabankapi-d.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
pfabankapi-q.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
pfabankapi.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
pfabankfindui-d.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
pfabankfindui-n.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
pfabankfindui-q.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
pfabankfindui.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
pfabankui-q.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
pif.gov,pif.gov,pif-team@gsa.gov,,Production,federalist.18.gov,https://docs.google.com/document/d/1j97ltncIyVXtCtOs3FmqAqmUOB6Bgy-xOMR-EUVBhfw/edit,,TBD,Low,7/28/2017,,,PIF,,,,,TBD,OPP,No,∞,62B298E7,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
pif.gsa.gov,pif.gov,pif-team@gsa.gov,,Redirect,,,,,,,,,FAS/TTS/PIF,keith.muth@gsa.gov,,,,,,,7F7DD6BC,19012068,Copy of GSA site inventory TTS 54,Y,N
piv.idmanagement.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,65BAAC34,3F97A1D6,Copy of ATO/System Tracking Index Federalist Sites,N,N
pivcac.ci.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
pivcac.crissupb.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
pivcac.int.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
pivcac.jjg.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
pivcac.markryan.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
pivcac.prod.login.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
pivcac.staging.login.gov,login.gov,all@login.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
plain-language-tutorial.18f.gov,18f.gov,,,Deprecated,,,,,,,,,OGP,lachelle.levan@gsa.gov,,,,,,,AFDA07CC,9B4E79F6,Copy of GSA site inventory OGP,N,N
plainlanguage.gov,plainlanguage.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
pra.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
presidentialinnovationfellows.gov,pif.gov,pif-team@gsa.gov,,Production,,,,,,,,,,,,,,,,,3330CBD1,13D5968B,Copy of ATO/System Tracking Index Federalist Sites,N,N
preview.login.gov,login.gov,all@login.gov,,Staging,Project Hosts,,,GSA LATO,Low,,,,,,,,,,,,66B664A8,97D7E033,Copy of ATO/System Tracking Index Federalist Sites,Y,N
private-eye.18f.gov,18f.gov,,,Production,,,,,,,,,FAS,jill.akridge@gsa.gov,,,,,,,826DC283,FA0A6AA4,Copy of GSA site inventory FAS,N,N
product-guide.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
promotions.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
proposal.pif.gov,pif.gov,pif-team@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
public-sans.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,federalist.18.gov,,,,,,,,,,,,,,,,,,,,
publications.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
pulse.cio.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
qa.identitysandbox.gov,login.gov,all@login.gov,,Production,,,,,,,,,,,,,,,,,,,,,
reference.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
registry.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
requests.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,,,,,
research.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
resources-staging.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
resources.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,FAS/TTS/OPP,hyon.kim@gsa.gov,,,,,,,C27E4F72,185742D1,Copy of GSA site inventory TTS 60,Y,N
respuestas.gobiernousa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
resque.demo1.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
resque.demo2.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
resque.demo3.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
resque.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
review.pif.gov,pif.gov,pif-team@gsa.gov,,Production,Salesforce,,,,,,,,,,,,,,,,,,,,
rural.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
safety.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
sandbox.gov,tts.gsa.gov,,,,,,,,,,,,,,,,,,,,,,,,
sbst.gov,,#N/A,,Transferred?,,,,,,,,,,,,,,,,,,,,,
science.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
sdg-bsp.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
sdg-staging.data.gov,data.gov,datagovhelp@gsa.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
sdg.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
search.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
search.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,Production,AWS,https://drive.google.com/drive/u/1/folders/0BzGQCMmux7-oSHhQYlJmZUdheFE,drive.google.com/a/gsa.gov/file/d/0BynIxtx-CfkdX2s1UU1PdE9YUDg/view?usp=sharing,90-Day LATO Extension,Low,1/29/2017,,,OPP,,,,,Pivotal Tracker,OPP,Yes,0863D0DE,887CC100,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
search.gov,search.gov,amy.lawson@gsa.gov,,Production,AWS,https://drive.google.com/drive/folders/0B32BQWA0NBiqVjIxOTA2c3FVZEk,https://drive.google.com/open?id=0B7wXaYxmwOaXbFVJLUplSFF2Vlk,,Low,"February 1, 2020",,Hyon Kim,OPP,Dawn McCleskey,Dawn McClesky,,,,,,B59B045C,D699BC5F,Copy of ATO/System Tracking Index Internal Systems,Y,N
search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
secure.login.gov,login.gov,all@login.gov,FedRAMP docs: https://drive.google.com/open?id=1xpoGOhO7fcigIATcYGYJfdE5OZJ2pGIK,Production,AWS E/W,https://drive.google.com/drive/u/0/folders/10M8ETlrXwjNI01ggDkHge608mrTmQHbq,https://drive.google.com/a/gsa.gov/file/d/1Vp_6DTrqij7yjGl69DtLssBQwnKcBbe7/view?usp=drivesdk,,Moderate,04/2019,,Anil Cheriyan,18F,J. Alex Dalessio,Mossedeq Zia,,,,,,F3A87F72,FD45E55D,Copy of ATO/System Tracking Index Internal Systems,Y,N
semantic.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
services.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
site-scanning.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Transferred?,,,,,,,,,,,,,,,,,,,,,
